23-12-22 22:24:00.179 - INFO: Namespace(batch_size=4, checkpoint='../model_dcvc_quality_2_psnr.pth', clip_max_norm=1.0, cuda=True, dataset='/public/sy/vimeo_septuplet', epochs=600, experiment='DCVC_exp_01_mse_q1024', gpu_id=5, learning_rate=1e-05, lmbda=1024.0, model='dvc', num_workers=0, patch_size=(256, 256), save=True, seed=None, test_batch_size=4)
23-12-22 22:24:00.419 - INFO: Learning rate: 1e-05
23-12-22 22:24:05.875 - INFO: Train epoch 0: [    0/64612 (0%)] Loss: 0.2359 | MSE loss: 0.0001 | WARP loss: 0.0015 | Bpp loss: 0.1010 | 
23-12-22 22:25:21.029 - INFO: Train epoch 0: [  100/64612 (1%)] Loss: 0.2147 | MSE loss: 0.0001 | WARP loss: 0.0013 | Bpp loss: 0.0837 | 
23-12-22 22:26:35.207 - INFO: Train epoch 0: [  200/64612 (1%)] Loss: 0.2781 | MSE loss: 0.0002 | WARP loss: 0.0016 | Bpp loss: 0.1064 | 
23-12-22 22:27:50.672 - INFO: Train epoch 0: [  300/64612 (2%)] Loss: 0.1322 | MSE loss: 0.0001 | WARP loss: 0.0006 | Bpp loss: 0.0534 | 
23-12-22 22:29:06.161 - INFO: Train epoch 0: [  400/64612 (2%)] Loss: 0.2757 | MSE loss: 0.0002 | WARP loss: 0.0016 | Bpp loss: 0.0924 | 
23-12-22 22:30:21.877 - INFO: Train epoch 0: [  500/64612 (3%)] Loss: 0.2794 | MSE loss: 0.0002 | WARP loss: 0.0013 | Bpp loss: 0.1005 | 
23-12-22 22:31:36.779 - INFO: Train epoch 0: [  600/64612 (4%)] Loss: 0.2575 | MSE loss: 0.0002 | WARP loss: 0.0012 | Bpp loss: 0.0914 | 
23-12-22 22:32:53.348 - INFO: Train epoch 0: [  700/64612 (4%)] Loss: 0.2763 | MSE loss: 0.0002 | WARP loss: 0.0012 | Bpp loss: 0.0924 | 
23-12-22 22:34:07.056 - INFO: Train epoch 0: [  800/64612 (5%)] Loss: 0.2861 | MSE loss: 0.0002 | WARP loss: 0.0010 | Bpp loss: 0.0951 | 
23-12-22 22:35:22.915 - INFO: Train epoch 0: [  900/64612 (6%)] Loss: 0.1124 | MSE loss: 0.0001 | WARP loss: 0.0006 | Bpp loss: 0.0468 | 
23-12-22 22:36:38.019 - INFO: Train epoch 0: [ 1000/64612 (6%)] Loss: 0.0602 | MSE loss: 0.0000 | WARP loss: 0.0002 | Bpp loss: 0.0268 | 
23-12-22 22:37:53.576 - INFO: Train epoch 0: [ 1100/64612 (7%)] Loss: 0.2054 | MSE loss: 0.0001 | WARP loss: 0.0014 | Bpp loss: 0.0843 | 
23-12-22 22:39:08.418 - INFO: Train epoch 0: [ 1200/64612 (7%)] Loss: 0.1579 | MSE loss: 0.0001 | WARP loss: 0.0010 | Bpp loss: 0.0745 | 
23-12-22 22:40:25.270 - INFO: Train epoch 0: [ 1300/64612 (8%)] Loss: 0.1750 | MSE loss: 0.0001 | WARP loss: 0.0010 | Bpp loss: 0.0766 | 
23-12-22 22:41:44.427 - INFO: Train epoch 0: [ 1400/64612 (9%)] Loss: 0.2367 | MSE loss: 0.0001 | WARP loss: 0.0009 | Bpp loss: 0.0943 | 
23-12-22 22:43:10.973 - INFO: Train epoch 0: [ 1500/64612 (9%)] Loss: 0.3652 | MSE loss: 0.0002 | WARP loss: 0.0023 | Bpp loss: 0.1564 | 
23-12-22 22:44:37.280 - INFO: Train epoch 0: [ 1600/64612 (10%)] Loss: 0.2592 | MSE loss: 0.0001 | WARP loss: 0.0021 | Bpp loss: 0.1188 | 
23-12-22 22:45:54.565 - INFO: Train epoch 0: [ 1700/64612 (11%)] Loss: 0.1169 | MSE loss: 0.0001 | WARP loss: 0.0006 | Bpp loss: 0.0420 | 
23-12-22 22:47:12.734 - INFO: Train epoch 0: [ 1800/64612 (11%)] Loss: 0.3095 | MSE loss: 0.0002 | WARP loss: 0.0015 | Bpp loss: 0.1106 | 
23-12-22 22:48:32.718 - INFO: Train epoch 0: [ 1900/64612 (12%)] Loss: 0.2186 | MSE loss: 0.0001 | WARP loss: 0.0014 | Bpp loss: 0.0960 | 
23-12-22 22:49:51.725 - INFO: Train epoch 0: [ 2000/64612 (12%)] Loss: 0.1264 | MSE loss: 0.0001 | WARP loss: 0.0007 | Bpp loss: 0.0548 | 
23-12-22 22:51:09.106 - INFO: Train epoch 0: [ 2100/64612 (13%)] Loss: 0.1921 | MSE loss: 0.0001 | WARP loss: 0.0012 | Bpp loss: 0.0686 | 
23-12-22 22:52:23.851 - INFO: Train epoch 0: [ 2200/64612 (14%)] Loss: 0.1853 | MSE loss: 0.0001 | WARP loss: 0.0016 | Bpp loss: 0.0859 | 
23-12-22 22:53:40.138 - INFO: Train epoch 0: [ 2300/64612 (14%)] Loss: 0.1950 | MSE loss: 0.0001 | WARP loss: 0.0009 | Bpp loss: 0.0751 | 
23-12-22 22:54:58.462 - INFO: Train epoch 0: [ 2400/64612 (15%)] Loss: 0.1198 | MSE loss: 0.0001 | WARP loss: 0.0006 | Bpp loss: 0.0483 | 
23-12-22 22:56:16.015 - INFO: Train epoch 0: [ 2500/64612 (15%)] Loss: 0.0979 | MSE loss: 0.0001 | WARP loss: 0.0003 | Bpp loss: 0.0444 | 
23-12-22 22:57:34.294 - INFO: Train epoch 0: [ 2600/64612 (16%)] Loss: 0.2927 | MSE loss: 0.0002 | WARP loss: 0.0015 | Bpp loss: 0.1087 | 
23-12-22 22:58:50.598 - INFO: Train epoch 0: [ 2700/64612 (17%)] Loss: 0.1667 | MSE loss: 0.0001 | WARP loss: 0.0016 | Bpp loss: 0.0671 | 
23-12-22 23:00:07.611 - INFO: Train epoch 0: [ 2800/64612 (17%)] Loss: 0.4071 | MSE loss: 0.0002 | WARP loss: 0.0022 | Bpp loss: 0.1520 | 
23-12-22 23:01:25.955 - INFO: Train epoch 0: [ 2900/64612 (18%)] Loss: 0.1359 | MSE loss: 0.0001 | WARP loss: 0.0012 | Bpp loss: 0.0604 | 
23-12-22 23:02:44.160 - INFO: Train epoch 0: [ 3000/64612 (19%)] Loss: 0.1668 | MSE loss: 0.0001 | WARP loss: 0.0006 | Bpp loss: 0.0711 | 
23-12-22 23:04:02.267 - INFO: Train epoch 0: [ 3100/64612 (19%)] Loss: 0.2177 | MSE loss: 0.0001 | WARP loss: 0.0015 | Bpp loss: 0.0969 | 
